87658, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, CIRCONSCRIPTION 1ER DEGRE IEN AIX VALLEE DE L'ARC (0133000R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
87658, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, CIRCONSCRIPTION 1ER DEGRE IEN AIX VALLEE DE L'ARC (0133000R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
86603, AIX EN PROVENCE, 0131850R - ASH-EST, CIRCONSCRIPTION 1ER DEGRE IEN ASH-EST (0131850R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
86603, AIX EN PROVENCE, 0131850R - ASH-EST, CIRCONSCRIPTION 1ER DEGRE IEN ASH-EST (0131850R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
87482, AIX EN PROVENCE, 0131850R - ASH-EST, CTRE MEDICO PSYCHO PEDAGOGIQUE HENRI WALLON (0132737E), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 2, 0, 0
87482, AIX EN PROVENCE, 0131850R - ASH-EST, CTRE MEDICO PSYCHO PEDAGOGIQUE HENRI WALLON (0132737E), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 2, 0, 0
87483, AIX EN PROVENCE, 0131850R - ASH-EST, CTRE MEDICO PSYCHO PEDAGOGIQUE HENRI WALLON (0132737E), UEE - Unité d'enseignement élémentaire, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87483, AIX EN PROVENCE, 0131850R - ASH-EST, CTRE MEDICO PSYCHO PEDAGOGIQUE HENRI WALLON (0132737E), UEE - Unité d'enseignement élémentaire, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84328, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
84328, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
84329, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 1
84329, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 1
84330, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 4, 0, 1
84330, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 4, 0, 1
84331, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84331, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84332, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84332, AIX EN PROVENCE, 0131312F - AIX STE VICTOIRE, ECOLE ELEMENTAIRE D'APPLICATI A.DAUDET (APPL) (0130248Z), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86201, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
86201, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), DCOM - Compensation décharge de directeur, G0191 - Classe d'application, 0, 0, Non, 1, 0, 0
86202, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), DE - Directeur d'école, D0000 - Direction, 9, 1, Non, 1, 0, 1
86202, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), DE - Directeur d'école, D0000 - Direction, 9, 1, Non, 1, 0, 1
86203, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 6, 0, 0
86203, AIX EN PROVENCE, 0131311E - AIX TOULOUBRE, ECOLE ELEMENTAIRE D'APPLICATI F.MISTRAL(APPL) (0131201K), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 6, 0, 0
